hour_start_local,hour_end_local,hour_label,post_count,min_views,median_views,max_views,timezone,window_start_utc,window_end_utc,notes
00:00,00:59,00:00-00:59,5,80,176,1131,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
01:00,01:59,01:00-01:59,8,23,67.0,19196,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
02:00,02:59,02:00-02:59,5,23,58,2630,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
03:00,03:59,03:00-03:59,3,22,25,69,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
04:00,04:59,04:00-04:59,11,19,141,10324,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
05:00,05:59,05:00-05:59,7,30,104,6368,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
06:00,06:59,06:00-06:59,8,31,120.5,1093,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
07:00,07:59,07:00-07:59,10,10,56.0,8055,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
08:00,08:59,08:00-08:59,45,13,454,43717,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
09:00,09:59,09:00-09:59,58,24,1067.0,228714,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
10:00,10:59,10:00-10:59,30,33,194.5,11038,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
11:00,11:59,11:00-11:59,42,13,283.5,20203,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
12:00,12:59,12:00-12:59,21,6,127,3279,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
13:00,13:59,13:00-13:59,22,23,180.5,20065,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
14:00,14:59,14:00-14:59,17,23,104,9135,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
15:00,15:59,15:00-15:59,29,18,101,6989,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
16:00,16:59,16:00-16:59,15,26,235,11396,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
17:00,17:59,17:00-17:59,30,6,158.5,15349,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
18:00,18:59,18:00-18:59,14,15,84.5,1987,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
19:00,19:59,19:00-19:59,7,5,102,7525,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
20:00,20:59,20:00-20:59,18,16,81.5,5206,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
21:00,21:59,21:00-21:59,11,36,84,31655,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
22:00,22:59,22:00-22:59,11,20,87,20797,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
23:00,23:59,23:00-23:59,8,101,2087.0,98056,America/Toronto,2026-05-12T00:00:00Z,2026-07-11,excludes pure retweets of others; views=impression_count lifetime
